Iteration,Metric,Min,Avg,Std,Max
0,Susceptible,0.9625,0.9810000000000001,0.008746427842267968,0.9875
0,Exposed,0.0,0.006500000000000001,0.008746427842267951,0.025
0,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
0,Recovered_Immune,0.0,0.0,0.0,0.0
0,Death,0.0,0.0,0.0,0.0
0,Asymptomatic,0.9875,0.99925,0.0029685855217594687,1.0
0,Hospitalization,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
0,Severe,0.0,0.0,0.0,0.0
0,Q1,399.28071576028304,420.44078966022147,10.792670258628632,457.9503175538554
0,Q2,804.8217256038995,842.6850579856641,20.94175445866743,908.1509054882758
0,Q3,1310.5932484440402,1370.2616603846652,31.683748504231712,1466.8381556855038
0,Q4,2024.5028488393489,2110.0396202145416,54.656225108504174,2249.7004701716423
0,Q5,5596.10157763108,5776.587377900194,112.41904412584084,6067.8785352312425
0,Stat_R,0.0,0.006500000000000001,0.008746427842267951,0.025
1,Susceptible,0.9375,0.9774999999999998,0.012747548783981984,0.9875
1,Exposed,0.0,0.01,0.012747548783981962,0.05
1,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
1,Recovered_Immune,0.0,0.0,0.0,0.0
1,Death,0.0,0.0,0.0,0.0
1,Asymptomatic,0.9875,0.99925,0.0029685855217594687,1.0
1,Hospitalization,0.0,0.0005,0.002449489742783178,0.0125
1,Severe,0.0,0.00025,0.0017500000000000003,0.0125
1,Q1,413.1803730476804,441.1616253120744,15.962018875273278,495.63456637431176
1,Q2,824.5996445812606,880.6573289375632,31.49880410739449,977.3158663142694
1,Q3,1338.4640124935513,1435.2849135143522,48.51997133812156,1569.664944426941
1,Q4,2071.8363101624595,2222.278724496819,75.75335923104845,2380.8391258644515
1,Q5,5679.541989799858,6068.270862972834,183.3904589649413,6492.530914348747
1,Stat_R,0.0,0.01,0.012747548783981962,0.05
2,Susceptible,0.925,0.972,0.014696938456699083,0.9875
2,Exposed,0.0,0.0155,0.014696938456699067,0.0625
2,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
2,Recovered_Immune,0.0,0.0,0.0,0.0
2,Death,0.0,0.0,0.0,0.0
2,Asymptomatic,0.9875,0.99925,0.0029685855217594687,1.0
2,Hospitalization,0.0,0.0005,0.002449489742783178,0.0125
2,Severe,0.0,0.00025,0.0017500000000000003,0.0125
2,Q1,417.72349828477036,463.0746508370475,22.537687948931712,530.5568857673353
2,Q2,841.7060052078186,919.2592566642846,39.78681136317846,1027.3964120015994
2,Q3,1363.3602327119422,1505.0809691863112,69.15383640281055,1660.810571497855
2,Q4,2111.673712702346,2327.391956781999,112.18189677552928,2611.1779750153664
2,Q5,5836.307646155655,6350.987787673853,272.569559463366,6902.961602746667
2,Stat_R,0.0,0.0155,0.014696938456699067,0.0625
3,Susceptible,0.925,0.9679999999999999,0.015644487847162023,0.9875
3,Exposed,0.0,0.019500000000000003,0.015644487847162016,0.0625
3,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
3,Recovered_Immune,0.0,0.0,0.0,0.0
3,Death,0.0,0.0,0.0,0.0
3,Asymptomatic,0.9875,0.99925,0.0029685855217594687,1.0
3,Hospitalization,0.0,0.0005,0.002449489742783178,0.0125
3,Severe,0.0,0.00025,0.0017500000000000003,0.0125
3,Q1,429.16561176235234,482.33715261034405,26.49446047285399,552.0314601157029
3,Q2,844.1827058461481,957.1937180236503,48.83914613655539,1067.819615504647
3,Q3,1374.3155213948903,1571.3740934143113,86.04603112751087,1752.717131857768
3,Q4,2173.9320377666736,2442.9741732793495,146.24304623079678,2756.574718811988
3,Q5,5891.8670674619225,6628.404325406794,360.41603264584745,7216.872484372136
3,Stat_R,0.0,0.019500000000000003,0.015644487847162016,0.0625
4,Susceptible,0.925,0.96525,0.016448784149595993,0.9875
4,Exposed,0.0,0.022250000000000002,0.016448784149595982,0.0625
4,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
4,Recovered_Immune,0.0,0.0,0.0,0.0
4,Death,0.0,0.0,0.0,0.0
4,Asymptomatic,0.9875,0.99925,0.0029685855217594687,1.0
4,Hospitalization,0.0,0.0,0.0,0.0
4,Severe,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
4,Q1,439.4630506022318,501.98809651198445,31.828236479359983,586.4230736664255
4,Q2,873.5607977940305,998.023892729847,60.25739886424817,1130.0365612456326
4,Q3,1435.976283232973,1647.8461415100217,110.05387854593148,1883.9977370855968
4,Q4,2215.792468705251,2551.451783565117,174.0014165335612,3021.2263872420335
4,Q5,5963.212593478697,6925.786996951655,443.4774520137926,7699.859513178308
4,Stat_R,0.0,0.022250000000000002,0.016448784149595982,0.0625
5,Susceptible,0.925,0.9595,0.017599715906798048,0.9875
5,Exposed,0.0,0.028000000000000004,0.01759971590679804,0.0625
5,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
5,Recovered_Immune,0.0,0.0,0.0,0.0
5,Death,0.0,0.0,0.0,0.0
5,Asymptomatic,0.9875,0.99925,0.0029685855217594687,1.0
5,Hospitalization,0.0,0.0,0.0,0.0
5,Severe,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
5,Q1,443.29425073835733,523.793888619228,40.116292464822806,637.4117811957906
5,Q2,872.8612896720562,1033.7737727459207,74.01957009178386,1212.073225613539
5,Q3,1482.7403360197336,1718.2377456923675,126.90042476714692,1954.691766039278
5,Q4,2278.5685400441284,2651.0648839866535,195.851013453432,3183.254008995372
5,Q5,6262.537089100411,7209.15210812232,516.5419604676805,8236.931110131101
5,Stat_R,0.0,0.028000000000000004,0.01759971590679804,0.0625
6,Susceptible,0.925,0.9555,0.017349351572897475,0.9875
6,Exposed,0.0,0.032,0.01734935157289747,0.0625
6,Infected,0.0125,0.012499999999999997,3.469446951953614e-18,0.0125
6,Recovered_Immune,0.0,0.0,0.0,0.0
6,Death,0.0,0.0,0.0,0.0
6,Asymptomatic,0.9875,0.9990000000000001,0.003391164991562622,1.0
6,Hospitalization,0.0,0.00025,0.0017500000000000003,0.0125
6,Severe,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
6,Q1,459.2159827558243,544.5405686747227,46.54236856489791,686.4478977702596
6,Q2,894.0865564795206,1074.5321170511477,85.58177017976585,1249.3954302743218
6,Q3,1518.999038478663,1791.4189592518885,149.31175241784098,2068.567593792949
6,Q4,2318.291738650286,2755.191994560909,218.1035808238838,3334.7764488528737
6,Q5,6377.905787053252,7507.3952081300795,558.0174624757071,8463.164323608737
6,Stat_R,0.0,0.032,0.01734935157289747,0.0625
7,Susceptible,0.8875,0.9475,0.02291287847477921,0.9875
7,Exposed,0.0,0.0335,0.018445866745696718,0.0875
7,Infected,0.0125,0.019000000000000003,0.008746427842267951,0.0375
7,Recovered_Immune,0.0,0.0,0.0,0.0
7,Death,0.0,0.0,0.0,0.0
7,Asymptomatic,0.9875,0.9984999999999999,0.004062019202317966,1.0
7,Hospitalization,0.0,0.0005,0.0024494897427831783,0.0125
7,Severe,0.0,0.001,0.0033911649915626344,0.0125
7,Q1,471.193027143496,565.7344649233731,50.940736037198924,727.6035756831226
7,Q2,918.2819052615887,1115.3558418151133,97.70726260061618,1311.3038485851102
7,Q3,1560.4306685684912,1862.7387172660701,165.64811391490696,2152.542683065375
7,Q4,2354.378088724333,2858.2467921445177,245.03893656153338,3488.957730587287
7,Q5,6517.31429306326,7834.245062454418,634.2374478765335,9043.434446320147
7,Stat_R,0.0,0.04,0.022912878474779203,0.1
8,Susceptible,0.85,0.9395,0.029193321153990003,0.9875
8,Exposed,0.0,0.038,0.021644860821913362,0.1
8,Infected,0.0,0.022000000000000002,0.013360389215887386,0.0625
8,Recovered_Immune,0.0,0.0,0.0,0.0
8,Death,0.0,0.0005,0.0024494897427831783,0.0125
8,Asymptomatic,0.9875,0.99725,0.005178078794301977,1.0
8,Hospitalization,0.0,0.00125,0.0037500000000000003,0.0125
8,Severe,0.0,0.001,0.0033911649915626344,0.0125
8,Q1,477.7112303075862,588.2342528115947,57.830619031979346,770.6228318807529
