Iteration,Metric,Min,Avg,Std,Max
0,Susceptible,0.931,0.935,0.003999999999999948,0.939
0,Infected,0.051,0.05499999999999999,0.004,0.059
0,Recovered_Immune,0.01,0.01,0.0,0.01
0,Death,0.0,0.0,0.0,0.0
0,Exposed,0.001,0.004999999999999999,0.003999999999999999,0.009
0,Infectious,0.036,0.039999999999999994,0.004,0.044
0,Hospitalization,0.006,0.01,0.004,0.014
0,Severe,0.0,0.0,0.0,0.0
0,Q1,263.4901955324361,266.1165209610948,2.6263254286587596,268.7428463897536
0,Q2,514.345217689139,531.7612872835094,17.41606959437047,549.1773568778799
0,Q3,836.4223762396755,878.3975597855906,41.97518354591506,920.3727433315056
0,Q4,1280.7631340243806,1305.8382157847213,25.07508176034071,1330.913297545062
0,Q5,3591.2650210127094,3652.6013119297377,61.336290917028236,3713.937602846766
0,Stat_R,0.001,0.004999999999999999,0.003999999999999999,0.009
1,Susceptible,0.93,0.9345,0.0044999999999999485,0.939
1,Infected,0.05,0.055,0.0049999999999999975,0.06
1,Recovered_Immune,0.01,0.01,0.0,0.01
1,Death,0.0,0.0005,0.0005,0.001
1,Exposed,0.001,0.0055,0.0045000000000000005,0.01
1,Infectious,0.026,0.0305,0.004500000000000002,0.035
1,Hospitalization,0.015,0.018000000000000002,0.003000000000000001,0.021
1,Severe,0.0,0.001,0.001,0.002
1,Q1,124.15255265658058,132.15622962512086,8.003676968540276,140.15990659366113
1,Q2,227.72650918620405,259.01892867452557,31.292419488321485,290.311348162847
1,Q3,360.2576732794168,441.84347584425007,81.5858025648333,523.4292784090834
1,Q4,561.0234040486887,615.1739572444654,54.15055319577675,669.3245104402422
1,Q5,1767.7798933852396,1866.6048201846693,98.8249267994297,1965.429746984099
1,Stat_R,0.001,0.0055,0.0045000000000000005,0.01
2,Susceptible,0.916,0.924,0.008000000000000007,0.932
2,Infected,0.056,0.065,0.008999999999999998,0.074
2,Recovered_Immune,0.01,0.01,0.0,0.01
2,Death,0.0,0.001,0.001,0.002
