Date,Cases
2020-01-31,0.0
2020-02-03,314.6826474598297
2020-02-04,549.3623009506838
2020-02-05,756.859387242302
2020-02-06,968.3075093190162
2020-02-07,1204.1189153153684
2020-02-10,1479.9236313692684
2020-02-11,1809.8919021993306
2020-02-12,2208.7181985393913
2020-02-13,2692.9499201971644
2020-02-14,3282.0320815013683
2020-02-17,3999.2771661669485
2020-02-18,4872.8867802685745
2020-02-19,5937.111679836036
2020-02-20,7233.619938381293
2020-02-21,8813.139221717749
2020-02-24,10737.443670712342
2020-02-25,13081.76547421416
2020-02-26,15937.725577127174
2020-02-27,19416.89713674056
2020-02-28,23655.13705660997
2020-03-02,28817.850200990462
2020-03-03,35106.38384707715
2020-03-04,42765.790064356064
2020-03-05,52094.24050435945
2020-03-06,63454.43541602363
2020-03-09,77287.41087255963
2020-03-10,94129.22475111477
2020-03-11,114631.08320394607
2020-03-12,139583.56291578463
2020-03-13,169945.68131337734
2020-03-16,206879.66109003048
2020-03-17,251792.32823601368
2020-03-18,306384.13767703896
2020-03-19,372706.83822954004
2020-03-20,453230.7051588119
2020-03-23,550922.0490563675
2020-03-24,669331.2051141708
2020-03-25,812681.712319243
2020-03-26,984633.2594282336
2020-03-27,1149975.2962602885
2020-03-30,1246831.3707199087
2020-03-31,1289052.4561436037
2020-04-01,1295355.6683863625
2020-04-02,1278463.8694446972
2020-04-03,1246928.1780724884
2020-04-06,1206480.7292589366
2020-04-07,1160950.0330473254
2020-04-08,1112879.6533207376
2020-04-09,1063946.410277739
2020-04-10,1015243.0229038744
2020-04-13,967469.1258276401
2020-04-14,921060.349081616
2020-04-15,876275.523166414
2020-04-16,833255.5751666336
2020-04-17,792063.2867587191
2020-04-20,752710.1134243775
2020-04-21,715174.256661487
2020-04-22,679412.8233695859
2020-04-23,645369.988685215
2020-04-24,612982.458137847
2020-04-27,582183.1053959596
2020-04-28,552903.3784818463
2020-04-29,525074.8738939989
2020-04-30,498630.35212671023
2020-05-01,473504.37520777935
2020-05-04,449633.6914256817
2020-05-05,426957.45105106593
2020-05-06,405417.30925550364
2020-05-07,384957.45465889067
2020-05-08,365524.5892746817
2020-05-11,347067.8772445381
2020-05-12,329538.874431185
2020-05-13,312891.4454918103
2020-05-14,297081.6757805835
2020-05-15,282067.77971692476
2020-05-18,267810.00881059543
2020-05-19,254270.56077043124
2020-05-20,241413.49060900675
2020-05-21,229204.62427123624
2020-05-22,217611.4753340789
2020-05-25,206603.1645977799
2020-05-26,196150.34354923674
2020-05-27,186225.1203396031
2020-05-28,176800.9894412882
2020-05-29,167852.76412004148
2020-06-01,159356.51239328735
2020-06-02,151289.49571066737
2020-06-03,143630.11034094077
2020-06-04,136357.83175827513
2020-06-05,129453.1616464495
2020-06-08,122897.57713843824
2020-06-09,116673.48281563378
2020-06-10,110764.16487103261
2020-06-11,105153.74734503585
2020-06-12,99827.1507339356
2020-06-15,94770.05241223468
2020-06-16,89968.84899023475
2020-06-17,85410.62060449357
2020-06-18,81083.09685095289
2020-06-19,76974.624465351
2020-06-22,73074.13644569104
2020-06-23,69371.12287608736
2020-06-24,65855.60305373593
2020-06-25,62518.09903127589
2020-06-26,59349.61045657094
2020-06-29,56341.59078600274
2020-06-30,53485.9241643354
2020-07-01,50774.9042780839
2020-07-02,48201.213387169715
2020-07-03,45757.9033123845
2020-07-06,43438.37654381068
2020-07-07,41236.36850874651
2020-07-08,39145.931262060076
2020-07-09,37161.41719605652
2020-07-10,35277.46391039605
2020-07-13,33488.98023212632
2020-07-14,31791.1320044124
2020-07-15,30179.32985546913
2020-07-16,28649.216275074472
2020-07-17,27196.654067245378
2020-07-20,25817.71524330728
2020-07-21,24508.670567300993
2020-07-22,23265.979431968663
2020-07-23,22086.28039290951
2020-07-24,20966.382104787655
2020-07-27,19903.25473057153
2020-07-28,18894.021817319634
2020-07-29,17935.95247114117
2020-07-30,17026.454061389475
2020-07-31,16163.06522507214
2020-08-03,15343.449249490644
2020-08-04,14565.387755892001
2020-08-05,13826.774659004222
2020-08-06,13125.610568282113
2020-08-07,12459.997373514849
2020-08-10,11828.133088487637
2020-08-11,11228.30702318127
2020-08-12,10658.895154051725
2020-08-13,10118.355727360793
2020-08-14,9605.225108563642
2020-08-17,9118.113828356993
2020-08-18,8655.702831685043
2020-08-19,8216.73986319046
2020-08-20,7800.036158508659
2020-08-21,7404.46320504685
2020-08-24,7028.949666800823
2020-08-25,6672.478499415629
2020-08-26,6334.084230137585
2020-08-27,6012.850310574399
2020-08-28,5707.9066407734435
2020-08-31,5418.427243288002
2020-09-01,5143.627942852841
2020-09-02,4882.764425244523
2020-09-03,4635.130069553648
2020-09-04,4400.05405565044
2020-09-07,4176.89957152978
2020-09-08,3965.062094337614
2020-09-09,3763.9677488242155
2020-09-10,3573.071765114371
2020-09-11,3391.8569798069616
2020-09-14,3219.832463060369
2020-09-15,3056.532159387516
2020-09-16,2901.5136587556976
2020-09-17,2754.3569807714425
2020-09-18,2614.6634345238776
2020-09-21,2482.0545451359853
2020-09-22,2356.1710337793775
2020-09-23,2236.6718357467744
2020-09-24,2123.2331803353545
2020-09-25,2015.5477164192296
2020-09-28,1913.3236786369346
2020-09-29,1816.2840952235968
2020-09-30,1724.1660403225399
2020-10-01,1636.719920555366
2020-10-02,1553.708800038564
2020-10-05,1474.9077574583996
2020-10-06,1400.10327787785
2020-10-07,1329.092674056467
2020-10-08,1261.683537381267
2020-10-09,1197.6932173714615
2020-10-12,1136.9483297262789
2020-10-13,1079.2842680293647
2020-10-14,1024.5447859612716
2020-10-15,972.5815675043607
2020-10-16,923.2538063048114
2020-10-19,876.4278437444113
2020-10-20,831.9767945609062
2020-10-21,789.7802103390181
2020-10-22,749.7237521366183
2020-10-23,711.6988785516199
2020-10-26,675.6025538897605
2020-10-27,641.3369669838352
2020-10-28,608.8092674501695
2020-10-29,577.9313135010125
2020-10-30,548.6194367193134
2020-11-02,520.7942070495889
2020-11-03,494.38022723378447
2020-11-04,469.3059202045763
2020-11-05,445.50334225750856
