,S,E,I,C,R,D
2020-03-01,83149299.0,1.0,0.0,0.0,0.0,0.0
2020-03-02,83149298.9185326,0.7894145405762212,0.27698138150490725,0.0034991963078975833,0.011440602097823539,0.0001316688012113277
2020-03-03,83149298.70379163,0.751039774402255,0.49037002757706327,0.01213715176063518,0.041720478333317296,0.000940914842020687
2020-03-04,83149298.37628493,0.8192539796076284,0.6890737684597471,0.024405714194641184,0.08809190624452876,0.002889662030701083
2020-03-05,83149297.9353044,0.9648319900319666,0.9028948769916184,0.03987713973152862,0.15075090199010457,0.006340638068886816
2020-03-06,83149297.36633715,1.1784608290437961,1.1529743544655204,0.058756719207696186,0.23182366372395058,0.011647243513711924
2020-03-07,83149296.64414717,1.462548135650211,1.4574718610511965,0.08167354332398327,0.334949996059848,0.019209234610662134
2020-03-08,83149295.73343986,1.8273776728217008,1.8348687772817485,0.10959911442680016,0.4652011580862233,0.029513362342595353
2020-03-09,83149294.58804546,2.289599262241955,2.306143619613274,0.14383835743930717,0.6292037955349291,0.04316946004882145
2020-03-10,83149293.14904432,2.872040935105765,2.8964878652250055,0.18606616872413945,0.8354124950199064,0.060948181854192554
2020-03-11,83149291.3419755,3.604352748512749,3.636937123771026,0.23839779979157572,1.0945122218753627,0.08382459017522517
2020-03-12,83149289.073107,4.524268021707461,4.566149633612136,0.30348971475373276,1.4199546025248952,0.11303101762406269
2020-03-13,83149286.22463743,5.67941998700724,5.732500291550844,0.38467253934347617,1.8286471902355923,0.15012255449618375
2020-03-14,83149282.6486123,7.129742561839508,7.196638067713089,0.48612113611815033,2.341827037208694,0.19705888223511506
2020-03-15,83149278.15925583,8.950546169204294,9.034659805738977,0.6130696721216328,2.98616165599849,0.25630687422901144
2020-03-16,83149272.52332866,11.236410820313917,11.342075501090282,0.7720823352702324,3.7951333244512213,0.33096938103563855
2020-03-17,83149265.44801454,14.106090091134089,14.238776745153434,0.9713935221436214,4.810778164461163,0.42494695351516676
2020-03-18,83149256.56570935,17.708675868062077,17.875268927305687,1.221335010417031,6.085869933596781,0.5431409268157138
2020-03-19,83149245.41492404,22.231341483867826,22.440492123057613,1.534872213608363,7.686661729515695,0.691708425921694
2020-03-20,83149231.41630606,27.909065951034737,28.171639392214566,1.9282774504999503,9.696328554821823,0.8783826082785249
2020-03-21,83149213.8425413,35.0368407719025,35.36647983164673,2.4219749694325796,12.219288462955511,1.112874688400589
2020-03-22,83149191.78056537,43.984996268306936,44.39882995124421,3.0416018297525387,15.386627868754784,1.4073787407601386
2020-03-23,83149164.08412471,55.21844204247039,55.7379757885581,3.819339647209805,19.362912369932218,1.7772054653443847
2020-03-24,83149129.31422405,69.32082060348446,69.97305440748423,4.795586355934722,24.35473677511844,2.241577833258691
2020-03-25,83149085.66436264,87.02483035545852,87.84366300494479,6.021054939341252,30.621459077810503,2.824630003385739
2020-03-26,83149030.86667998,109.2502913075196,110.27828393909593,7.559408034824315,38.488675397194605,3.5566613509439127
2020-03-27,83148962.07412986,137.15193300771077,138.44252412824724,9.490565436147117,48.36513673990961,4.475710836690784
2020-03-28,83148875.71257019,172.17938363722382,173.79967141011267,11.914856092735107,60.763985285005305,5.629533405026499
2020-03-29,83148767.29507476,216.15248038113873,218.18671802330695,14.958230605996611,76.32941501584422,7.078081240188869
2020-03-30,83148631.18883444,271.35580727981494,273.9097950464868,18.778804657967992,95.87013996064904,8.896618625676107
2020-03-31,83148460.32253182,340.6573735890898,343.8639786527255,23.575073549727165,120.40141006111298,11.179632361158061
2020-04-01,83148245.81899577,427.6575932008834,431.6836889875871,29.596224451733907,151.19775677624565,14.045740842179567
2020-04-02,83147976.53407146,536.876295047574,541.9314881726267,37.15508172975451,189.8592069117632,17.643856703236086
2020-04-03,83147638.47774097,673.9874798779765,680.3350900888335,46.64435834510173,238.39440726274054,22.16092347235312
2020-04-04,83147214.08748752,846.113987445796,854.0848698202842,58.55705615562432,299.3249715015812,27.831627578492615
2020-04-05,83146681.3161488,1062.1973762712119,1072.2073336241924,73.51207569920163,375.81647484048426,34.95059078812484
2020-04-06,83146012.48698425,1333.462173743241,1346.0339106161496,92.28636377459532,471.8428919082609,43.88767571781414
2020-04-07,83145172.85656671,1673.9985579783065,1689.7893906864113,115.85526793361291,592.3930172192868,55.10719949539126
2020-04-08,83144118.81098768,2101.493650760996,2121.330529423851,145.4431926434075,743.7295859681946,69.19205356391417
2020-04-09,83142795.60203461,2638.149214564595,2663.073059777983,182.5871823350002,933.7145281074716,86.87398062200292
2020-04-10,83141134.50602394,3311.833232859552,3343.1551792749965,229.21673251083104,1172.2172492197908,109.0715822244744
2020-04-11,83139049.25857955,4157.524714924181,4196.897638532688,287.7539597810736,1471.6270805016295,136.93802673408646
2020-04-12,83136431.58106486,5219.126216340446,5268.635977838269,361.2393240856859,1847.496481970431,171.9209349216142
2020-04-13,83133145.56812342,6551.737176917205,6614.019451312427,453.4894061874147,2319.3482951629603,215.83754703582028
2020-04-14,83129020.64758018,8224.504552453818,8302.895093544756,569.2948957257479,2911.688811835478,270.969066310652
2020-04-15,83123842.7517885,10324.195736622261,10422.92531386416,714.6690203574424,3655.279071400097,340.1790693122364
2020-04-16,83117343.3399712,12959.58996218197,13084.118947462492,897.159176664138,4588.729840877716,427.062101675138
2020-04-17,83109202.69401452,16250.948162460858,16423.506880661833,1126.2331576967924,5760.48772397373,536.1300607410104
2020-04-18,83100896.1580009,18614.603857988983,20474.202928545015,1413.0301420339483,7228.97548548495,673.0295851414387
2020-04-19,83099080.36852816,14802.300399033096,23812.03975579435,1753.3445138939842,9007.836311542706,844.1104916719092
2020-04-20,83098243.29923694,11318.64843754705,25582.92510697514,2108.6113211277966,10993.293588842362,1053.2223086739662
2020-04-21,83097377.41850442,8847.024188497824,26249.211517668813,2445.6306520679254,13080.67810157121,1300.0370359313058
2020-04-22,83096502.39888857,7083.237903685077,26188.34180752077,2745.7206468778054,15198.841101592143,1581.459651894387
2020-04-23,83095637.81487803,5810.188953391742,25658.466411298028,2999.9045101289125,17300.68855825836,1892.9366890357635
2020-04-24,83094796.1744807,4878.26913874845,24835.27971558779,3205.34162434384,19355.63397584398,2229.301064921701
2020-04-25,83093985.13495494,4184.360346505314,23837.870345082512,3362.942260424284,21344.39352990593,2585.2985632958726
2020-04-26,83093209.07364652,3657.3341251179,22746.49809131067,3475.7896881812458,23255.40187310977,2955.902575926656
2020-04-27,83092470.16533644,3248.0769816812826,21614.814849821287,3548.109425757712,25082.34385327361,3336.4895531893253
2020-04-28,83091769.1200469,2922.628965236909,20478.264358021723,3584.607691302224,26822.45478221501,3722.924156482325
2020-04-29,83091105.68749404,2657.463631720163,19359.854051386937,3590.0575813579126,28475.350149194503,4111.587092466293
2020-04-30,83090479.00122076,2436.2409131901913,18274.119767274737,3569.0502311301816,30042.22018362379,4499.367684190253
2020-05-01,83089887.81262901,2247.573124845828,17229.847757010713,3525.8547469831315,31525.275940736195,4883.635801577606
2020-05-02,83089330.64944918,2083.487810885328,16231.9423093852,3464.3488518878657,32927.36884366049,5262.202735176301
2020-05-03,83088805.92238434,1938.3699439348266,15282.705960689662,3387.9946068701456,34251.729915746786,5633.277188591903
2020-05-04,83088311.99625123,1808.2338536193747,14382.715944786116,3299.8420340297603,35501.79163849491,5995.420278015108
2020-05-05,83087847.23683394,1690.221980267953,13531.42317296967,3202.549233119642,36681.0668802636,6347.501899599133
2020-05-06,83087410.04115827,1582.259664503917,12727.560603584936,3098.4114955393156,37793.06726226543,6688.659815992576
2020-05-07,83086998.85647944,1482.817289059078,11969.42072155427,2989.3945666565846,38841.248789267134,7018.262154202144
2020-05-08,83086612.19161712,1390.7462832106573,11255.043194598578,2877.168987365961,39828.976333113635,7335.873584769311
2020-05-09,83086248.62313052,1305.1659555313645,10582.340938089963,2763.1436361683714,40759.50115119993,7641.225188679475
2020-05-10,83085906.79804139,1225.3853084091468,9949.183997645485,2648.4973813199804,41635.94741067495,7934.187860738313
2020-05-11,83085585.4342746,1150.8489346549645,9353.454587178892,2534.208268999002,42461.3049247395,8214.749010008043
2020-05-12,83085283.31961483,1081.0994934379496,8793.082451728857,2421.080005486063,43238.426159737086,8482.99227496655
2020-05-13,83084999.30972223,1015.7516228317196,8266.066829135141,2309.765700953286,43970.026167400334,8739.079957647396
2020-05-14,83084732.3255792,954.4737114800912,7770.489364868967,2200.7889667698378,44658.6844942693,8983.23788360901
2020-05-15,83084481.35061504,896.9751145077314,7304.520909296093,2094.562532731384,45306.84841830173,9215.74241031547
2020-05-16,83084245.42767718,842.9971186398167,6866.424244718544,1991.4045843467027,45916.83704936627,9436.90932593238
2020-05-17,83084023.6559599,792.3065022480762,6454.5541276405265,1891.553035058301,46490.845972026684,9647.084403312661
2020-05-18,83083815.18796293,744.6908944114418,6067.355593494873,1795.1779478743078,47030.9522045505,9846.635396937154
2020-05-19,83083619.2265265,699.9553834653418,5703.361170414989,1702.392310715437,47539.1193150884,10035.94529401519
2020-05-20,83083435.02197136,657.9199973442597,5361.1874392935715,1613.2613570253768,48017.20258350108,10215.406651670462
2020-05-21,83083261.86936031,618.4177964726074,5039.531234201307,1527.8106032183207,48466.95413106525,10385.41687492073
