Iteration,Metric,Min,Avg,Std,Max
0,Susceptible,0.968,0.9693333333333333,0.0009428090415820641,0.97
0,Infected,0.02,0.020666666666666667,0.0009428090415820625,0.022
0,Recovered_Immune,0.01,0.01,0.0,0.01
0,Death,0.0,0.0,0.0,0.0
0,Exposed,0.0,0.0006666666666666666,0.0009428090415820634,0.002
0,Infectious,0.016,0.018333333333333337,0.0016996731711975948,0.02
0,Hospitalization,0.0,0.0016666666666666668,0.0016996731711975948,0.004
0,Severe,0.0,0.0,0.0,0.0
0,Q1,627.4057219220153,672.7110639910363,52.54769820757327,746.3780503240789
0,Q2,1289.1469322193084,1371.043754482306,65.47788232441854,1449.4182592912491
0,Q3,2004.7467867585428,2082.3331202785116,56.66067805271164,2138.473312555445
0,Q4,3233.234991400786,3310.2297264739277,78.1717462467413,3417.4300120355715
0,Q5,8460.682109649968,8978.41843993862,480.8451555126276,9619.097965042774
0,Stat_R,0.0,0.0006666666666666666,0.0009428090415820634,0.002
1,Susceptible,0.967,0.9686666666666666,0.0012472191289246482,0.97
1,Infected,0.02,0.021333333333333333,0.0012472191289246467,0.023
1,Recovered_Immune,0.01,0.01,0.0,0.01
1,Death,0.0,0.0,0.0,0.0
1,Exposed,0.0,0.0013333333333333333,0.0012472191289246471,0.003
1,Infectious,0.014,0.015666666666666666,0.0012472191289246474,0.017
1,Hospitalization,0.003,0.004,0.000816496580927726,0.005
1,Severe,0.0,0.0003333333333333333,0.0004714045207910317,0.001
1,Q1,877.7718722899205,930.8387082368963,70.19080040646276,1030.02235597246
1,Q2,1785.260723251481,1890.1448776325421,90.94973372733592,2007.063824454261
1,Q3,2731.6464060884396,2976.134254285327,172.96923459264548,3105.2194674721013
1,Q4,4309.386888773701,4637.618661228083,233.57685666847607,4833.908288616039
1,Q5,11099.202907989596,12164.20407147389,1096.4141152546822,13672.673535674585
1,Stat_R,0.0,0.0013333333333333333,0.0012472191289246471,0.003
2,Susceptible,0.856,0.8616666666666667,0.005436502143433369,0.869
2,Infected,0.121,0.12833333333333333,0.005436502143433369,0.134
2,Recovered_Immune,0.01,0.01,0.0,0.01
2,Death,0.0,0.0,0.0,0.0
2,Exposed,0.101,0.10833333333333334,0.005436502143433362,0.114
2,Infectious,0.013,0.013666666666666667,0.00047140452079103207,0.014
2,Hospitalization,0.005,0.005666666666666667,0.0004714045207910317,0.006
2,Severe,0.0,0.0006666666666666666,0.0004714045207910317,0.001
2,Q1,986.4087221219645,1061.4360811005495,105.367559926049,1210.4470950004825
2,Q2,2060.0712852481383,2205.158118726452,104.64181355464395,2302.9447876220643
2,Q3,3174.01390918508,3508.272139894271,238.53706545850855,3714.815387215791
2,Q4,5058.531554651656,5453.939522832895,290.9626751562021,5750.275760903481
2,Q5,12970.483596603646,14191.50577271198,1129.3925050957741,15693.711752496785
2,Stat_R,0.101,0.10833333333333334,0.005436502143433362,0.114
3,Susceptible,0.712,0.7586666666666666,0.04365266951236264,0.817
3,Infected,0.173,0.2313333333333333,0.043652669512362664,0.278
3,Recovered_Immune,0.01,0.01,0.0,0.01
3,Death,0.0,0.0,0.0,0.0
3,Exposed,0.153,0.21133333333333335,0.04365266951236265,0.258
3,Infectious,0.011,0.012666666666666666,0.0012472191289246474,0.014
3,Hospitalization,0.004,0.006333333333333333,0.0016996731711975948,0.008
3,Severe,0.0,0.001,0.000816496580927726,0.002
3,Q1,1131.781325696244,1218.4354968354926,108.37947501708665,1371.24982766956
3,Q2,2404.5105551808847,2548.9775698178632,103.30238519995227,2640.0269067329527
3,Q3,3705.150040154132,4116.150335753685,290.6970577889876,4329.789087461444
3,Q4,5916.97454560293,6268.088750600706,252.91876662299165,6502.730242338446
3,Q5,15174.456432046944,16526.864203803172,1300.0865093729244,18281.762815704467
3,Stat_R,0.153,0.21133333333333335,0.04365266951236265,0.258
4,Susceptible,0.54,0.614,0.07337574531137654,0.714
4,Infected,0.276,0.37566666666666665,0.07304032371840152,0.449
4,Recovered_Immune,0.01,0.01,0.0,0.01
4,Death,0.0,0.0003333333333333333,0.0004714045207910317,0.001
4,Exposed,0.256,0.35566666666666663,0.07304032371840152,0.429
4,Infectious,0.009,0.011333333333333332,0.001699673171197595,0.013
4,Hospitalization,0.004,0.006333333333333333,0.0016996731711975948,0.008
4,Severe,0.0,0.0023333333333333335,0.001699673171197595,0.004
4,Q1,1260.2936897078666,1383.2958781233094,152.64009991277914,1598.424269338541
4,Q2,2600.7958433493122,2889.67999705994,205.6347131439225,3063.0687866102353
4,Q3,4171.739697442966,4717.675140287373,386.11770956507695,5000.450901492449
4,Q4,6725.791369370694,7032.57099219719,268.6773656236105,7380.115348912601
4,Q5,16931.523032983616,18626.866139457325,1808.8999304332715,21133.614921451568
4,Stat_R,0.256,0.35600000000000004,0.07337574531137657,0.43
5,Susceptible,0.5,0.5273333333333333,0.03795025984393547,0.581
5,Infected,0.408,0.462,0.03818376618407358,0.489
5,Recovered_Immune,0.01,0.01,0.0,0.01
5,Death,0.0,0.0006666666666666666,0.0004714045207910317,0.001
5,Exposed,0.388,0.442,0.03818376618407355,0.469
5,Infectious,0.009,0.011000000000000001,0.0014142135623730955,0.012
5,Hospitalization,0.005,0.006666666666666667,0.0012472191289246471,0.008
5,Severe,0.0,0.0023333333333333335,0.001699673171197595,0.004
5,Q1,1371.9130701196857,1550.652202366329,158.11499822164382,1756.3822899165218
5,Q2,2938.784276640592,3192.6825120656995,179.97780956810573,3335.116539897865
5,Q3,4631.037353219783,5243.064921194494,440.45074510301146,5649.38812807879
5,Q4,7668.367854725791,7855.391382134734,181.35891254284297,8100.900622412737
5,Q5,18530.642939079953,20410.700153825965,2274.223396778014,23610.63511758631
5,Stat_R,0.389,0.4426666666666666,0.03795025984393547,0.47
6,Susceptible,0.5,0.5273333333333333,0.03795025984393547,0.581
6,Infected,0.408,0.462,0.03818376618407358,0.489
6,Recovered_Immune,0.01,0.01,0.0,0.01
6,Death,0.0,0.0006666666666666666,0.0004714045207910317,0.001
6,Exposed,0.388,0.4413333333333333,0.037721199462489106,0.469
6,Infectious,0.009,0.011000000000000001,0.0016329931618554523,0.013
6,Hospitalization,0.006,0.007333333333333333,0.0012472191289246467,0.009
6,Severe,0.0,0.0023333333333333335,0.001699673171197595,0.004
6,Q1,1621.217566209195,1799.6076056315933,172.2056270096479,2032.3815664756596
6,Q2,3462.711894293112,3750.021402817691,212.46487838116266,3969.846502699565
6,Q3,5252.877651372897,6055.717595279454,568.7198250988827,6498.963128099763
6,Q4,8874.189125213401,9119.648227362692,243.8721313538159,9452.193880192248
6,Q5,21948.261255620284,23934.025874456867,2683.8719887087127,27728.21277934411
6,Stat_R,0.389,0.4426666666666666,0.03795025984393547,0.47
7,Susceptible,0.5,0.5273333333333333,0.03795025984393547,0.581
7,Infected,0.408,0.4613333333333333,0.03772119946248912,0.489
7,Recovered_Immune,0.01,0.01,0.0,0.01
7,Death,0.001,0.0013333333333333333,0.0004714045207910317,0.002
7,Exposed,0.388,0.44,0.0368057966449127,0.468
7,Infectious,0.009,0.011000000000000001,0.0016329931618554523,0.013
7,Hospitalization,0.006,0.007666666666666666,0.001699673171197595,0.01
7,Severe,0.0,0.0026666666666666666,0.0020548046676563255,0.005
7,Q1,1820.7655184164782,2023.5513602963608,197.95324544034384,2292.086908415451
7,Q2,3969.6369472386564,4325.8310948109765,255.05292954688693,4553.144956709477
7,Q3,5889.4551618697205,6896.581202372302,712.4334818785779,7424.944485901358
7,Q4,10049.850601444668,10415.24645491255,294.417990334235,10770.823912679038
7,Q5,24887.97839945266,27291.808331108783,2976.7188033289603,31486.628824328895
7,Stat_R,0.389,0.4426666666666666,0.03795025984393547,0.47
8,Susceptible,0.495,0.524,0.038218669085496225,0.578
8,Infected,0.41,0.46399999999999997,0.03821866908549626,0.493
8,Recovered_Immune,0.01,0.01,0.0,0.01
8,Death,0.002,0.002,0.0,0.002
8,Exposed,0.277,0.3363333333333333,0.04234251868853443,0.373
8,Infectious,0.106,0.11166666666666668,0.004027681991198194,0.115
8,Hospitalization,0.009,0.011999999999999999,0.002160246899469287,0.014
8,Severe,0.002,0.004,0.001414213562373095,0.005
8,Q1,2009.766868018371,2268.6764083349753,242.97473314179882,2593.782574777015
8,Q2,4437.152023221066,4840.808889481336,286.37333396776125,5071.104502879631
8,Q3,6636.208803393125,7734.436591984665,776.8377398154882,8308.791410915946
8,Q4,11413.569158378821,11575.515528133052,220.93552486842214,11887.894826187621
8,Q5,28294.279935329287,30639.613151597106,3163.8045818766955,35112.135548543476
8,Stat_R,0.392,0.446,0.03821866908549623,0.475
9,Susceptible,0.393,0.42500000000000004,0.031026870075253597,0.467
9,Infected,0.52,0.5623333333333332,0.03137231617560649,0.595
9,Recovered_Immune,0.01,0.01,0.0,0.01
9,Death,0.002,0.0026666666666666666,0.0004714045207910317,0.003
9,Exposed,0.296,0.332,0.02550816862627865,0.352
9,Infectious,0.138,0.19933333333333333,0.04529410067056807,0.246
9,Hospitalization,0.024,0.025333333333333336,0.0012472191289246467,0.027
9,Severe,0.004,0.005666666666666667,0.0012472191289246471,0.007
9,Q1,2133.8787905122695,2412.238008583631,253.97527172076033,2747.9939825630054
9,Q2,4707.209643121695,5148.08705945702,311.9547236106395,5382.4524398259855
9,Q3,7008.661547090431,8217.268419507243,854.8755100763078,8847.461574765477
9,Q4,12126.829716594391,12243.77260948095,108.5748336673385,12388.418365386664
9,Q5,29809.041201341573,32356.28795479021,3405.672141256398,37169.90491673173
9,Stat_R,0.503,0.545,0.03102687007525358,0.577
10,Susceptible,0.315,0.36166666666666664,0.04419150245113746,0.421
10,Infected,0.566,0.6256666666666666,0.044544609350876854,0.673
10,Recovered_Immune,0.01,0.01,0.0,0.01
10,Death,0.002,0.0026666666666666666,0.0004714045207910317,0.003
10,Exposed,0.19,0.25133333333333335,0.04428945196720722,0.293
10,Infectious,0.22,0.3193333333333333,0.07129905718560067,0.384
10,Hospitalization,0.041,0.04666666666666666,0.006649979114420002,0.056
10,Severe,0.005,0.008333333333333333,0.0028674417556808756,0.012
10,Q1,2300.405471210964,2569.9537279896185,257.3134708710969,2916.44260878956
10,Q2,5067.212528273257,5490.799633685149,299.60470037100737,5711.249849904409
10,Q3,7433.19257054954,8734.209343448141,922.3760575066758,9466.466764568937
10,Q4,12857.239897569894,12942.056511240946,66.39716919667187,13019.357262101345
10,Q5,31750.402953964363,34599.80451368201,3740.1476385630403,39883.746099837066
10,Stat_R,0.549,0.6083333333333334,0.044191502451137454,0.655
11,Susceptible,0.279,0.2876666666666667,0.011556623882239795,0.304
11,Infected,0.683,0.6983333333333333,0.011115554667022003,0.709
11,Recovered_Immune,0.01,0.01,0.0,0.01
11,Death,0.002,0.004,0.0021602468994692866,0.007
11,Exposed,0.22,0.23966666666666667,0.026411277052720415,0.277
11,Infectious,0.328,0.37633333333333335,0.0341792659696229,0.401
11,Hospitalization,0.058,0.07,0.009092121131323903,0.08
11,Severe,0.006,0.012333333333333335,0.0057927157323275896,0.02
11,Q1,2442.353422070253,2695.7044690309936,244.83607249667708,3026.774192150981
11,Q2,5395.613694173362,5852.145767547423,323.41181329613426,6104.425361963908
11,Q3,7779.648879972008,9174.912117527716,989.7111041739988,9968.577470129418
11,Q4,13372.611381827555,13555.529122996479,195.42727029174998,13826.413610299322
11,Q5,33622.174639754274,36664.62522503887,4065.1218732950097,42410.23740741894
11,Stat_R,0.666,0.6823333333333332,0.01155662388223977,0.691
12,Susceptible,0.14,0.19566666666666666,0.03953338954464806,0.228
12,Infected,0.754,0.7886666666666667,0.042153159892099286,0.848
12,Recovered_Immune,0.01,0.01,0.0,0.01
12,Death,0.002,0.005666666666666667,0.0026246692913372703,0.008
12,Exposed,0.271,0.331,0.04242640687119284,0.361
12,Infectious,0.296,0.34833333333333333,0.03711543554312082,0.378
12,Hospitalization,0.081,0.08833333333333333,0.008339997335464536,0.1
12,Severe,0.016,0.021,0.00408248290463863,0.026
12,Q1,2500.837791433076,2795.311385394812,265.36831823055485,3144.0289341243606
12,Q2,5647.670781734398,6085.775492137964,315.73814169426055,6379.55440368
12,Q3,8176.028435585551,9575.776262483269,992.8652452068546,10371.57519107854
12,Q4,13850.510883614184,14216.264132531089,283.7161242423681,14542.006706091184
12,Q5,35323.56868844827,38453.525027026,4126.035313163748,44283.333919468976
12,Stat_R,0.742,0.7743333333333333,0.039533389544648044,0.83
13,Susceptible,0.14,0.19399999999999998,0.038401388863772444,0.226
13,Infected,0.748,0.7799999999999999,0.037094473981982796,0.832
13,Recovered_Immune,0.01,0.01,0.0,0.01
13,Death,0.014,0.016,0.0016329931618554513,0.018
13,Exposed,0.273,0.33266666666666667,0.04220847729491736,0.364
13,Infectious,0.275,0.3263333333333333,0.03644478319625761,0.356
13,Hospitalization,0.095,0.10000000000000002,0.005099019513592783,0.107
13,Severe,0.016,0.021,0.00408248290463863,0.026
13,Q1,2628.034989619047,2955.681917151842,294.78542249613724,3342.7390838689334
13,Q2,6131.8714749009705,6559.62114047043,304.68414705253736,6818.454975708621
13,Q3,8751.23196568659,10124.224233025583,971.7348271204439,10861.435618135787
13,Q4,14737.584968937417,15115.760671262942,278.9905702310808,15402.27008597681
13,Q5,36898.091500588096,40477.69073378009,4508.609397870333,46837.08442984808
13,Stat_R,0.744,0.7680000000000001,0.027178422814186035,0.806
14,Susceptible,0.14,0.19199999999999998,0.036995495221265336,0.223
14,Infected,0.743,0.7709999999999999,0.03278210894171797,0.817
14,Recovered_Immune,0.01,0.01,0.0,0.01
14,Death,0.024,0.027,0.004242640687119286,0.033
14,Exposed,0.271,0.33066666666666666,0.04220847729491736,0.362
14,Infectious,0.252,0.3053333333333333,0.03772119946248912,0.333
14,Hospitalization,0.109,0.11399999999999999,0.00454606056566195,0.12
14,Severe,0.016,0.021,0.00408248290463863,0.026
14,Q1,2786.8198533663726,3132.9755622842663,299.87380567930177,3518.2293293406246
14,Q2,6561.774601386268,6908.084347796135,260.2870831809188,7189.295771762214
14,Q3,9357.958339579205,10742.273884185493,980.8872715871487,11511.649621131379
14,Q4,15611.87618424242,16033.517636156284,349.49847289764705,16467.693770280686
14,Q5,38647.2584905634,42578.03452603202,4871.565045226604,49443.41936050506
14,Stat_R,0.747,0.7633333333333333,0.01653951497340705,0.786
15,Susceptible,0.138,0.18933333333333333,0.036527006751473926,0.22
15,Infected,0.73,0.761,0.03379349049743163,0.808
15,Recovered_Immune,0.01,0.01,0.0,0.01
15,Death,0.035,0.03966666666666666,0.0036817870057290845,0.044
15,Exposed,0.194,0.23433333333333337,0.028522895287041872,0.255
15,Infectious,0.341,0.38000000000000006,0.028647280266487177,0.409
15,Hospitalization,0.124,0.12566666666666668,0.0016996731711975965,0.128
15,Severe,0.016,0.021,0.00408248290463863,0.026
15,Q1,2952.3659567304685,3281.0678947619635,292.4705298641971,3662.8465372908145
15,Q2,7057.009740592024,7321.898336396134,207.87227280839866,7564.759329428451
15,Q3,9714.599689006585,11209.196045568773,1075.4715907948814,12200.615120381859
15,Q4,15942.068623024159,16775.732323912915,595.8420857916698,17298.84358048191
15,Q5,40943.280604992346,44775.77353334726,5104.6948797548375,51990.214330377654
15,Stat_R,0.74,0.7463333333333333,0.008259674462242586,0.758
16,Susceptible,0.116,0.17166666666666666,0.040285095120762573,0.21
16,Infected,0.723,0.7669999999999999,0.03959797974644665,0.819
16,Recovered_Immune,0.01,0.01,0.0,0.01
16,Death,0.042,0.051333333333333335,0.006649979114420001,0.057
16,Exposed,0.138,0.18866666666666668,0.03786232369461171,0.229
16,Infectious,0.369,0.4196666666666667,0.03813426572286692,0.461
16,Hospitalization,0.135,0.138,0.0035590260840104274,0.143
16,Severe,0.016,0.020666666666666667,0.0036817870057290875,0.025
16,Q1,3011.601203614676,3376.4545337978343,304.0633436759669,3755.968263512661
16,Q2,7134.425225197036,7544.909130373356,326.45143078706775,7933.134764440996
16,Q3,9823.752344893428,11499.00503107935,1196.4005802765382,12542.076867671669
16,Q4,16095.40171601985,17116.857444545658,726.1415443895218,17719.201135656083
16,Q5,41919.594980010996,45804.028302379265,4764.4861505182935,52514.250389396846
16,Stat_R,0.751,0.7639999999999999,0.01151810169544734,0.779
17,Susceptible,0.068,0.12666666666666668,0.056511552407941826,0.203
17,Infected,0.717,0.7966666666666667,0.06034530268012215,0.863
17,Recovered_Immune,0.01,0.01,0.0,0.01
17,Death,0.059,0.06666666666666667,0.005436502143433364,0.071
17,Exposed,0.077,0.16033333333333336,0.06445842760174103,0.234
17,Infectious,0.448,0.461,0.009416297927883682,0.47
17,Hospitalization,0.149,0.15466666666666665,0.004189935029992182,0.159
17,Severe,0.016,0.020666666666666667,0.0036817870057290875,0.025
17,Q1,3100.644628348098,3435.5633715941062,285.9646988835024,3799.3280922990552
17,Q2,7388.884396390795,7577.756880017674,162.61101795363433,7785.81047717939
17,Q3,10117.700923998194,11759.132556349025,1179.4402228497538,12836.54957266262
17,Q4,16285.805928439942,17280.17963237077,703.5787604352925,17808.193597429352
17,Q5,42937.82785696397,46855.82624154503,4804.406277762572,53622.15795993793
17,Stat_R,0.669,0.7763333333333334,0.09122986840332988,0.892
18,Susceptible,0.045,0.11633333333333333,0.06288790733431102,0.198
18,Infected,0.708,0.7933333333333333,0.06676492758593809,0.871
18,Recovered_Immune,0.01,0.01,0.0,0.01
18,Death,0.074,0.08033333333333333,0.004496912521077351,0.084
18,Exposed,0.03,0.07933333333333333,0.06695935749061183,0.174
18,Infectious,0.488,0.5146666666666667,0.029634814361190517,0.556
18,Hospitalization,0.169,0.17866666666666667,0.011614167593456234,0.195
18,Severe,0.016,0.020666666666666667,0.0036817870057290875,0.025
18,Q1,3143.1801260387238,3494.209337588791,296.8068583046911,3869.036101005939
18,Q2,7453.285324215429,7644.9451685724225,136.185245907095,7757.191845910019
18,Q3,10041.183471199465,11843.27172976303,1297.6808927765362,13044.852014068572
18,Q4,16316.786045802504,17364.876812088252,742.4934696667218,17944.36710452409
18,Q5,43429.23523337365,47622.15227486577,5084.960854152525,54778.237792216336
18,Stat_R,0.671,0.7493333333333334,0.10936889665510736,0.904
19,Susceptible,0.011,0.065,0.0396316371938716,0.105
19,Infected,0.778,0.8250000000000001,0.04688283267892416,0.889
19,Recovered_Immune,0.01,0.01,0.0,0.01
19,Death,0.09,0.09999999999999999,0.00725718035235908,0.107
19,Exposed,0.061,0.129,0.0590592922409336,0.205
19,Infectious,0.465,0.48666666666666664,0.024553795814270533,0.521
19,Hospitalization,0.171,0.18866666666666668,0.01613140484341714,0.21
19,Severe,0.016,0.020666666666666667,0.0036817870057290875,0.025
19,Q1,3056.491130526726,3468.1177322324256,301.7291859555057,3771.3138244922857
19,Q2,7550.833554771501,7729.067078712593,126.0666413925417,7821.899391200734
19,Q3,10329.535167411806,11749.726705915557,1014.5136259982249,12636.31281902755
19,Q4,16645.105122198693,17590.34751878973,682.4805555020779,18231.95739044166
19,Q5,43553.437605132305,47637.704396582434,5451.978654158073,55343.333219187094
19,Stat_R,0.7,0.7903333333333333,0.10528163288162956,0.938
20,Susceptible,0.011,0.065,0.0396316371938716,0.105
20,Infected,0.744,0.781,0.04411349000022554,0.843
20,Recovered_Immune,0.025,0.026,0.0008164965809277254,0.027
20,Death,0.119,0.128,0.008286535263104043,0.139
20,Exposed,0.061,0.12666666666666668,0.057482364445299416,0.201
20,Infectious,0.423,0.44966666666666666,0.027194770739161517,0.487
20,Hospitalization,0.186,0.19033333333333333,0.004784233364802446,0.197
20,Severe,0.011,0.014333333333333332,0.0024944382578492947,0.017
20,Q1,3106.9655478665527,3543.103833789819,327.2296616102742,3895.1745581611444
20,Q2,7785.719484886256,7848.515588072937,48.941867906767726,7905.121708210517
20,Q3,10576.352898742389,11787.216607088701,964.0377885037021,12935.24416374394
20,Q4,16869.796972270735,17607.76550692544,660.7200912042631,18473.114952096832
20,Q5,43527.18459599931,48760.710985976235,6153.110205945628,57398.17172807912
20,Stat_R,0.249,0.31066666666666665,0.07156504422939704,0.411
21,Susceptible,0.011,0.06433333333333334,0.03896437118987322,0.103
21,Infected,0.723,0.7633333333333333,0.0468354092066628,0.829
21,Recovered_Immune,0.025,0.02666666666666667,0.0012472191289246467,0.028
21,Death,0.133,0.1456666666666667,0.009285592184789408,0.155
21,Exposed,0.059,0.12433333333333334,0.05705163353392161,0.198
21,Infectious,0.396,0.41900000000000004,0.023930454794396757,0.452
21,Hospitalization,0.197,0.206,0.007788880963698611,0.216
21,Severe,0.011,0.014,0.0024494897427831787,0.017
21,Q1,3182.1322634876205,3626.0309058309026,332.712116949704,3983.1154394457612
21,Q2,8106.790415109453,8134.896853965877,33.91027692888119,8182.600948467372
21,Q3,10791.520765190719,11997.753859482744,1115.9195716050046,13482.156981536522
21,Q4,16508.042348202845,17784.068305181532,1040.2386215622962,19056.08672727701
21,Q5,45350.58912275318,50589.465323137585,5988.61163709415,58971.78778167792
21,Stat_R,0.175,0.2783333333333333,0.09746566346952938,0.409
22,Susceptible,0.011,0.06333333333333334,0.03838691906829142,0.102
22,Infected,0.705,0.7463333333333333,0.04888989897946427,0.815
22,Recovered_Immune,0.026,0.027333333333333334,0.0012472191289246482,0.029
22,Death,0.147,0.163,0.011775681155103796,0.175
22,Exposed,0.039,0.10766666666666667,0.0563402362634576,0.177
