Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT582446,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-20
MT582447,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-20
MT582484,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-11
MT582487,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-11
MT582490,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,,2020-02-28
MT582494,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,,2020-02-27
MT582497,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,,2020-02-26
MT582498,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,lung,2020-02-25
MT270101,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01-28
MT270103,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,Germany: Bavaria,Homo sapiens,,2020-01-28
MT270106,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,Germany: Bavaria,Homo sapiens,,2020-02-01
MT270108,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01
MT358638,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358639,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358641,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358643,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
