Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,2019-12
LC556316,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Japan,Homo sapiens,,2020-04
MT679205,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: NY,Homo sapiens,oronasopharynx,2020-03-25
MT679209,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: NY,Homo sapiens,oronasopharynx,2020-04-09
MT671821,2020-06-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,2020-03-13
MT664106,2020-06-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Rangpur,Homo sapiens,oronasopharynx,2020-06-07
MT511066,2020-05-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Poland,Homo sapiens,,2020-04-01
MT511679,2020-05-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: FL,Homo sapiens,,2020-04-09
MT358638,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358641,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT466071,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Uruguay,Homo sapiens,oronasopharynx,2020-03-13
MT470100,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470219,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Colombia,Homo sapiens,,2020-04-02
MT459986,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Guam,Homo sapiens,oronasopharynx,2020-03-24
MT428552,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Kazakhstan,Homo sapiens,,2020-03-20
MT415321,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,India,Homo sapiens,,2020-03-11
MT374104,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Taiwan,Homo sapiens,oronasopharynx,2020-03-10
MT371047,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Sri Lanka,Homo sapiens,,2020-03-16
MT324062,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,South Africa: KwaZulu-Natal,Homo sapiens,,2020-03-07
MT328032,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Greece,Homo sapiens,oronasopharynx,2020-03-18
MT135042,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China: Beijing,Homo sapiens,,2020-01-28
MT039890,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,South Korea,Homo sapiens,,2020-01
