,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,date,strain,virus
MT576689.1,2020-06-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,Bangladesh,Homo sapiens,oronasopharynx,2020-05-23,MT576689.1,Severe acute respiratory syndrome-related coronavirus
MT072667.1,2020-02-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,670,Belgium,Homo sapiens,,2020-02-03,MT072667.1,Severe acute respiratory syndrome-related coronavirus
MT135042.1,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China: Beijing,Homo sapiens,,2020-01-28,MT135042.1,Severe acute respiratory syndrome-related coronavirus
MT259230.1,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-25,MT259230.1,Severe acute respiratory syndrome-related coronavirus
MT517422.1,2020-05-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,Czech Republic,Homo sapiens,oronasopharynx,2020-03-26,MT517422.1,Severe acute respiratory syndrome-related coronavirus
MT470105.1,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03-01,MT470105.1,Severe acute respiratory syndrome-related coronavirus
MT358643.1,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02-01,MT358643.1,Severe acute respiratory syndrome-related coronavirus
MT328033.1,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,Greece,Homo sapiens,oronasopharynx,2020-03-18,MT328033.1,Severe acute respiratory syndrome-related coronavirus
MT607604.1,2020-06-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-06-03,MT607604.1,Severe acute respiratory syndrome-related coronavirus
MT598147.1,2020-06-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens,oronasopharynx,2020-03-10,MT598147.1,Severe acute respiratory syndrome-related coronavirus
LC549340.1,2020-06-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Japan:Tokyo,Homo sapiens,,2020-03-01,LC549340.1,Severe acute respiratory syndrome-related coronavirus
MT372481.1,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,Malaysia,Homo sapiens,,2020-03-20,MT372481.1,Severe acute respiratory syndrome-related coronavirus
MT511081.1,2020-05-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Poland,Homo sapiens,,2020-04-07,MT511081.1,Severe acute respiratory syndrome-related coronavirus
MT636895.1,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29525,Russia: Moscow region,Homo sapiens,,2020-03-20,MT636895.1,Severe acute respiratory syndrome-related coronavirus
MT630423.1,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,Saudi Arabia: Jeddah,Homo sapiens,,2020-03-15,MT630423.1,Severe acute respiratory syndrome-related coronavirus
MT359231.1,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,3822,Serbia,Homo sapiens,,2020-04-01,MT359231.1,Severe acute respiratory syndrome-related coronavirus
MT256917.1,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Spain: Valencia,Homo sapiens,,2020-03-02,MT256917.1,Severe acute respiratory syndrome-related coronavirus
MT093571.1,2020-02-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,Sweden,Homo sapiens,,2020-02-07,MT093571.1,Severe acute respiratory syndrome-related coronavirus
MT502908.1,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,354,Thailand,Homo sapiens,,2020-03-13,MT502908.1,Severe acute respiratory syndrome-related coronavirus
MT560530.1,2020-06-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,Turkey,Homo sapiens,,2020-04-15,MT560530.1,Severe acute respiratory syndrome-related coronavirus
