,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,date,strain,virus
MT582446.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-20,MT582446.1,Severe acute respiratory syndrome-related coronavirus
MT582447.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-20,MT582447.1,Severe acute respiratory syndrome-related coronavirus
MT582484.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-11,MT582484.1,Severe acute respiratory syndrome-related coronavirus
MT582487.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-11,MT582487.1,Severe acute respiratory syndrome-related coronavirus
MT582490.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,,2020-02-28,MT582490.1,Severe acute respiratory syndrome-related coronavirus
MT582494.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,,2020-02-27,MT582494.1,Severe acute respiratory syndrome-related coronavirus
MT582497.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,,2020-02-26,MT582497.1,Severe acute respiratory syndrome-related coronavirus
MT582498.1,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens,lung,2020-02-25,MT582498.1,Severe acute respiratory syndrome-related coronavirus
MT270101.1,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01-28,MT270101.1,Severe acute respiratory syndrome-related coronavirus
MT270103.1,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,Germany: Bavaria,Homo sapiens,,2020-01-28,MT270103.1,Severe acute respiratory syndrome-related coronavirus
MT270106.1,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,Germany: Bavaria,Homo sapiens,,2020-02-01,MT270106.1,Severe acute respiratory syndrome-related coronavirus
MT270108.1,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01-01,MT270108.1,Severe acute respiratory syndrome-related coronavirus
MT358638.1,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02-01,MT358638.1,Severe acute respiratory syndrome-related coronavirus
MT358639.1,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02-01,MT358639.1,Severe acute respiratory syndrome-related coronavirus
MT358641.1,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02-01,MT358641.1,Severe acute respiratory syndrome-related coronavirus
MT358643.1,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02-01,MT358643.1,Severe acute respiratory syndrome-related coronavirus
