Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT658507,2020-06-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Egypt,Homo sapiens,oronasopharynx,2020-06-02
MT641501,2020-06-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA: Washington,Homo sapiens,,2020-04-11
MT641645,2020-06-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Northern Territory,Homo sapiens,,2020-02-21
MT635269,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,"India: Gujarat, Ahmedabad",Homo sapiens,,2020-06-03
MT582453,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-20
MT576584,2020-06-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29760,Nigeria,Homo sapiens,,2020-03
MT525950,2020-05-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29760,Italy: Lazio,Homo sapiens,oronasopharynx,2020-03-01
MT451694,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,2020-04-01
MT350282,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Brazil,Homo sapiens,,2020-03-18
MT263074,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,Peru,Homo sapiens,,2020-03-10
MN908947,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,2019-12
MG772933,2018-03-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,China,Rhinolophus sinicus,,2017-02
