Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT636895,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29525,Russia: Moscow region,Homo sapiens,,2020-03-20
MT630423,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,Saudi Arabia: Jeddah,Homo sapiens,,2020-03-15
MT607604,2020-06-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-06-03
MT598147,2020-06-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens,oronasopharynx,2020-03-10
MT576689,2020-06-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,Bangladesh,Homo sapiens,oronasopharynx,2020-05-23
LC549340,2020-06-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Japan:Tokyo,Homo sapiens,,2020-03
MT560530,2020-06-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,Turkey,Homo sapiens,,2020-04-15
MT517422,2020-05-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,Czech Republic,Homo sapiens,oronasopharynx,2020-03-26
MT511081,2020-05-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Poland,Homo sapiens,,2020-04-07
MT502908,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,354,Thailand,Homo sapiens,,2020-03-13
MT358643,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT470105,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT372481,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,Malaysia,Homo sapiens,,2020-03-20
MT359231,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,3822,Serbia,Homo sapiens,,2020-04
MT328033,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,Greece,Homo sapiens,oronasopharynx,2020-03-18
MT256917,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Spain: Valencia,Homo sapiens,,2020-03-02
MT259230,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-25
MT135042,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China: Beijing,Homo sapiens,,2020-01-28
MT093571,2020-02-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,Sweden,Homo sapiens,,2020-02-07
MT072667,2020-02-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,670,Belgium,Homo sapiens,,2020-02-03
